State,Region
ME,North East
NH,North East
VT,North East
MA,North East
NY,North East
CT,North East
RI,North East
NJ,North East
PA,North East
DE,South
MD,South
WV,South
DC,South
VA,South
KY,South
NC,South
TN,South
SC,South
GA,South
FL,South
AL,South
MS,South
AR,South
LA,South
OK,South
TX,South
OH,Midwest
MI,Midwest
IN,Midwest
IL,Midwest
WI,Midwest
MN,Midwest
IA,Midwest
MO,Midwest
KS,Midwest
NE,Midwest
SD,Midwest
ND,Midwest
MT,West
ID,West
WA,West
OR,West
WY,West
CA,West
NV,West
UT,West
CO,West
AZ,West
NM,West
AL,Pacific
HI,Pacific